Institution name,Title,Summary impact type,Countries,Formal partners,Funding programmes,Name of funders,1. Summary of the impact,,url
University of Southampton,AccelerComm: hardware acceleration spin-out for 5G communications,Technological,[UK];[China];[USA];[Global],,[ICURE Aid for Start Ups Cohort 4],[EPSRC];[Innovate UK],"
###  1. Summary of the impact 

 Professor Rob Maunder and his team at the University of Southampton have developed methodologies for the joint design of signal processing algorithms and their hardware acceleration for mobile communication. Since March 2016, the impact of this research has been as follows: 

 **I1** Creation of a spin\-out company AccelerComm Ltd to develop the research into commercial\-grade hardware accelerator designs. AccelerComm now employs 33 people, has a valuation of over \[text removed for publication\] and offers 27 hardware accelerator design products protected by 5 granted patents and a further 32 patent applications. 

 **I2** Deployment of hardware accelerator designs in 5G base\-stations, test\-and\-measurement equipment, satellites and user devices world\-wide, through 58 licenses of the AccelerComm products to \[text removed for publication\] organisations including National Instruments, \[text removed for publication\], generating \[text removed for publication\] of license sales booking for AccelerComm, plus royalty commitments that will be realised in future years. 

 **I3** Contributing to the global standards that define 5G. Maunder led a consortium including Ericsson, LG Electronics, Orange, NEC and Sony that contributed to defining the hardware accelerated signal processing aspects of the global standard for 5G mobile communication. 

 **I4** Facilitating 5G deployment. Research has led to open source simulation models that, in combination with AccelerComm's partnerships with hardware vendors Intel, Xilinx and Achronix, have contributed to the development of a global eco\-system for open standardised hardware platforms for 5G base\-station implementation, enabling the 'integration in a day' of hardware accelerators. 

 **I5** Maunder informed part of the UK government's Future Telecoms Infrastructure Review, which sets the flagship policy for the roll\-out of 5G in the UK, with the target of providing 5G coverage to the majority of the UK population by 2027. 
",,https://results2021.ref.ac.uk/impact/10c676e9-7039-4efe-9ff7-c8adb0931a44
University of Edinburgh,Code size reduction enables cost savings and enhances functionality of modem and WiFi chipsets,Technological,,,,[EPSRC],"
#  1. Summary of the impact 

 Research led by the University of Edinburgh \(UoE\) has resulted in a compiler tool that reduces firmware code size by up to 12% in modem chips for smartphones and Internet of Things \(IoT\) devices. The research has been commercialised by world\-leading smartphone chip manufacturer Qualcomm, and employed in more than 175,000,000 5G handsets worldwide. It enabled the company to bring to market modem chips that are smaller, more energy efficient, and/or able to perform more complex functions \(such as compatibility with 5G\) than previously possible. As an early adopter of the open\-sourced UoE research, Qualcomm’s business has significantly improved, borne out both in their clients’ ability to manufacture devices with novel functionality, and in their elimination of competitors from the 5G modem chip market. 
",,https://results2021.ref.ac.uk/impact/fcc22fe8-c6d4-450a-aa64-9e18af0d70a3
University of Bristol,Enabling the 5G Networked Society,Technological,,,[Programme Grant],[EPSRC];[European Commission];[DCMS];[EPSRC];[EPSRC],"
###  1. Summary of the impact 

 Society is now benefiting from the higher data rates, lower latency and higher reliability afforded by 5G, thanks to research undertaken by the University of Bristol’s Smart Internet Lab. This research directly influenced Government policy, yielding the GBP200 million national 5G testbeds and trials programme, and culminating in a strategy for securing the UK’s telecommunication supply chain. The Lab’s pioneering research into new 5G technologies and control methodologies has been adopted by international standardisation bodies, influenced the architecture of BT’s 5G network roll\-out, as well as initiating the adoption of 5G connectivity by multiple vertical industries. Samsung has exploited the research in their mobile edge computing product portfolio, and Zeetta Networks, a spin\-out with >30 staff, is commercialising NetOS®, a suite of software tools for 5G network virtualisation and orchestration deployed in 4 German cities, a football stadium and city festival. 
",,https://results2021.ref.ac.uk/impact/2f77f185-074e-482f-9bdb-8146a98d6ecc
"University of Nottingham, The",Enabling the rollout of 5G in Italy and optimising vibration and noise control in vehicles using wave modelling,Technological,[FRANCE];[GERMANY];[ITALY];[JAPAN];[UNITED KINGDOM],[CST AG];[InuTech GmbH];[Romax Technology Ltd];[Telecom Italia];[Yanmar Co Ltd],[Responsive Mode];[H2020 FET Open];[COST Network];[Industry Fellowship];[FP7 IAPP];[Responsive mode],[Engineering and Physical Sciences Research Council];[European Commission];[15 - Royal Society],"
 **1. Summary of the impact** \(indicative maximum 100 words\) 

 Working in partnership with a leading communications provider, Telecom Italia, software and modelling developed at the University of Nottingham were applied to real\-life wireless communication scenarios to inform operational planning in the rollout of 5G in Italy. 

 Research confirmed that electromagnetic fields \(EMF\) transitioning from outdoor\-to\-indoor environments would remain under Italy’s exposure limit of 6V/m. \[TEXT REDACTED\] 

 The same underpinning research informs the design and manufacturing process for a range of complex structures for minimised noise and vibration, including tractor cabins \(Yanmar Ltd\) and others through new licensed software \(inuTech\). 
",,https://results2021.ref.ac.uk/impact/0cf6aa38-83d0-4c31-9cf2-243e938c4431
University of Southampton,Hollow Core Fibres: Delivering economic impact via the commercialisation of a disruptive optical fibre technology for next-generation communications systems.,Technological,[UK];[USA];[Denmark];[Germany];[France];[Ireland];[Netherlands],,,[EPSRC];[EU],"
###  1. Summary of the impact 

 Pioneering studies at the University of Southampton’s Optoelectronics Research Centre \(ORC\) have demonstrated a set of hollow core optical fibre structures with world\-record properties, proving the commercial viability of a technology designed to disrupt how data communications systems operate and meet increasing global demand for higher bandwidth. Through the spin\-out of fast\-growing company Lumenisity Ltd in January 2016, the commercialisation of hollow core fibre \(HCF\) technology has delivered significant economic impact, including: \[text removed for publication\] raised in external investment, with \~50% coming from overseas into the UK economy; the creation of more than 50 highly skilled engineering and manufacturing jobs at a new \[text removed for publication\] facility in the Southampton area; and revenues approaching \[text removed for publication\] from the sale of first\-generation products with very strong growth forecast in the coming years. The first commercial deployment of HCFs has delivered technical, and therefore financial, benefits to companies in the financial services sector with proof\-of\-concept trials planned in other data communication and telecommunication applications: notably in data centre interconnect and 5G backhaul – both critical if the UK is to meet its broadband connectivity goals. Lumenisity and the ORC are now receiving enquiries and are engaged with many world\-leading companies both in the UK and internationally. 
",,https://results2021.ref.ac.uk/impact/6168e649-490b-4e7b-8497-e532259b80ca
Liverpool John Moores University,ICS3: What to do With the Wi-Fi Wild West (Wi-5),Technological,"[England, Turkey, Cyprus, Netherlands, Spain, France, Denmark, Austria, Italy]","[Nederlandse Organisatie Voor Toegepast Natuurwetenschappelijk Onderzoek (TNO), Universidad de Zaragoza, Telefónica S.A., AirTies, PrimeTel PLC, Blu Wireless Technology, AIMES, Inventya, DefProc, Digicredis, CGA Simulation];[Liverpool City Council, Royal Liverpool and Broadgreen University Hospitals NHS Trust (RLBUHT), e-Health Cluster, University of Liverpool]",[EU Horizon 2020];[Liverpool 5G Testbed],[European Commission];[DCMS],"
###  1. Summary of the impact 

 Wi\-Fi devices should operate in a way to reduce interference between them and thus increase spectrum capacity to meet growing service demands. The EU H2020 funded Wi\-5 project developed novel algorithms for such a solution. Its impact includes \(a\) the text here redacted, \(b\) solution exploitation for securing two government grants worth £7.8m to create 5G\-supported digital health and social care services with estimated annual savings of £247,688 per hundred users, \(c\) consultation with 16 telecommunication operators in 7 countries \(e.g., the text here redacted\), and \(d\) 16 contributions to standardisation bodies. 
",,https://results2021.ref.ac.uk/impact/3c3f41d0-1a96-4506-9dea-ccccf91fdfb9
University College London,Improving Data Transfer with Multipath Transmission Control Protocols,Technological,[Global],,[European Commission FP7  ];[Google Inc  ],[European Commission FP7];[Google Inc];[British Telecommunications PLC  ],"
###  1. Summary of the impact 

 Research at UCL pioneered the suite of Multipath Transmission Control Protocols \(MPTCP\). These protocols improve the efficiency of data transfer across the Internet when compared to the classic suite of transfer protocols “TCP/IP”. The UCL team demonstrated the improved effectiveness of these protocols which has led to multiple commercial deployments, either by Internet Service Providers or by companies such as phone handset suppliers. In addition, UCL research has been incorporated into Operating Systems such as Apple’s iOS and Linux and it is now shaping the design of 5G cellular networks. As a result of UCL research, millions of users benefit every day from smoother transitions between different Internet connections ensuring that online services have a much higher performance and reliability. 
",,https://results2021.ref.ac.uk/impact/14c2a082-bde1-430b-a050-380ec574838e
University of Cambridge,Improving mobile phone and network performance through multipath routing and rate control,Technological,[Global],,,,"
 **1. Summary of the impact** \(indicative maximum 100 words\) 

 With increased demands on the internet, Kelly developed at the University of Cambridge a novel multipath extension to Transmission Control Protocol \(TCP\), the main system of rules for transferring data across the internet. His algorithm has been translated into a practical implementation, “Multipath TCP” \(MPTCP\), standardised by the Internet Engineering Task Force, the international body for defining internet operating protocols. 

 **Key impacts:** 

 **\[I1\]** In the current REF period MPTCP has been deployed on over 1,380,000,000 Apple iPhones worldwide, representing sales of over USD951,000,000,000, and is also used on Korea Telecom and Huawei smartphones. 

 **\[I2\]** In 2015 a new company was founded, Tessares, which uses MPTCP to provide faster internet services, particularly in rural areas, in six countries. Tessares employs nearly 30 people. 

 **\[I3\]** Since July 2020, MPTCP is a standard feature of 5G. 
",,https://results2021.ref.ac.uk/impact/e0040f2d-8148-4631-979a-35355680dcdf
Kingston University,Intelligent computer vision improving security in crowded public events and agricultural practice on farms,Technological,[United Kingdom];[European Union],[Blue Bear Systems Research];[Broadway Partners];[Cybermoor];[King’s College London];[Lancaster University];[North Pennines – Area of Outstanding Natural Beauty];[Precision Decisions];[Quickline];[World Around Me];[Fraunhofer Gesellschaft Zur Foerderung Der Angewandten Forschung E.V.];[Acoucite];[Atos It Solutions And Services Sro];[Bruel & Kjaer Sound & Vibration Measurement A/S];[City Of Bonn];[Ethniko Kentro Erevnas Kai Technologikis Anaptyxis];[Cnet Svenska Ab];[Dexels Bv];[Digisky Srl];[Danmarks Tekniske Universitet];[Freie Und Hansestadt Hamburg];[Hochschule Fur Angewandte Wissenschaften Hamburg];[H W Communications Limited];[In-Jet Aps];[Fondazione Links - Leading Innovation & Knowledge For Society];[Kobenhavns Kommune];[Leeds Beckett University];[Movement Entertainment Srl];[Optinvent];[Praesidio Aps];[Ring Advocacy Aps];[Telecom Italia Spa];[Tivoli As];[Comune Di Torino];[VCA Technology Ltd];[Den Erhvervsdrivende Fond Vaeksthus Sjaelland];[Yorkshire County Cricket Club Limited];[Leeds Cricket Football And Athletic Co Limited],[5G Testbeds Programme];[H2020-EU.3.1.4.];[H2020-EU.2.1.1.],"[Department for Digital, Culture, Media and Sport];[European Commission]","
###  1. Summary of the impact 

 Research into computer vision and visual surveillance conducted by Remagnino and ROVIT have improved the welfare and economic prosperity of citizens across Europe by: 

-  establishing safety and security benefits in large public events through the deployment of the ‘MONICA’ platform for Internet\-of\-Things\-enabled crowd analysis in 5 European countries, with over 140,000 end\-users 

-  harnessing 5G to provide welfare improvement and cost savings to farmers through improvements to agricultural data analysis using drones, time\-saving measures, reducing medical costs, and increasing crop yields 

-  bringing industrial benefits and strategic redirection to VCA Technology Ltd 

-  driving forward drone operations with Blue Bear Research Systems 
",,https://results2021.ref.ac.uk/impact/5582f9ef-dd9b-412d-881a-f7f64e53cfb0
University of the West of Scotland,Leading international 5G innovations and shaping global standards and policy,Technological,[United Kingdom];[France];[Germany];[Portugal];[Greece];[Italy];[Ireland];[Romania],"[5G Infrastructure Public Private Partnership];[International Telecommunication Union];[European Telecommunications Standards Institute];[Eurescom-European Institute for Research and Strategic Studies in Telecommunications GmbH];[Altice Labs ];[Orange Romania ];[Orange France];[EFACEC Energia ];[Dell EMC ];[Ericsson Telecomunicazioni ];[IBM Israel Science and Technology Limited];[The Hellenic Telecommunications Organisation ];[EURECOM];[Universitat Politècnica de Catalunya ];[RedZinc Service Ltd];[Cork Institute of Technology ];[Universidad De Murcia ];[Deutsches Forschungszentrum Fuer Kuenstliche Intelligenz Gmbh ];[Universidad Complutense De Madrid ];[Nextworks];[Innoroute GmbH ];[Alvarion Technologies Ltd ];[Ubiwhere];[PROEF];[Creative Systems Engineering];[PT Inovação e Sistemas, S.A.,]",[Horizon 2020 Research and Innovation Action],[European Commission ],"
1.  **Summary of the impact** 

 University of the West of Scotland \(UWS\) plays a pivotal role in Europe’s global leadership in 5G – a vital technology used across a wide range of crucial sectors, including energy, healthcare, security etc. UWS’ ground\-breaking research has led the development of Europe’s 5G Golden Nugget innovation, and visions encapsulated within official White Papers. UWS’ 5G network management and control solutions have been deployed in the 5G trial testbeds of several leading 5G industries. Furthermore, UWS’ pioneering research has directly led to the development of the ITU \(International Telecommunication Union\) and ETSI \(European Telecommunications Standards Institute\) global ICT standards – essential to interoperability and innovation of international ICT systems. Further impact on national policies was achieved in the Scotland’s AI Strategy. 
",,https://results2021.ref.ac.uk/impact/91042024-2d9e-4154-9362-19af0ee99f63
