Institution name,Title,Summary impact type,Countries,Formal partners,Funding programmes,Name of funders,1. Summary of the impact,url
Aston University,Advances and commercialisation in the field of optical coherence tomography,Technological,,[Optimec Ltd];[National Physical Laboratory],[KTP];[CASE];[Materials Processing],[Innovate UK];[EPSRC];[EPSRC],"
###  1. Summary of the impact 

 Aston research into Optical Coherence Tomography \(OCT\) metrology resulted in new product lines: 

-  With Arden Photonics, Aston designed and fabricated OCT phantoms used to calibrate, test and validate the performance of OCT systems, aiding quality assurance. It remains the only commercially available OCT phantom technology in the world. 

-  With Optimec, Aston developed an OCT instrument that allows contact lens manufacturers to confirm that their products meet the required specification. This has enabled the adoption of new technology within the increasingly sophisticated global eye correction industry. It resulted in a second instrument with increased performance to be used in production lines. 
",https://results2021.ref.ac.uk/impact/6b93cbc5-44f9-4efb-b142-6977794ddd54
University of Bristol,"Bristol’s research has spawned a vibrant ecosystem of quantum technology start-ups, building jobs and investment in a new technology sector in the UK and USA",Technological,,,,,"
 **1. Summary of the impact** 

 University of Bristol \(UoB\) research has produced a diverse cluster of companies exploiting quantum photonic technologies, including the world’s most highly funded start\-up quantum computing company, which has raised USD215M and created over 100 jobs. Companies exploiting UoB research are enabling secure telecommunications; reducing diagnostic time and reliance on broad\-spectrum antibiotics in healthcare; and combating climate change by preventing leakage of natural gas from production facilities. The research has led to the founding of a skills and training centre for quantum entrepreneurs from which 31 new businesses have been developed, attracting a combined investment of GBP44.8M and creating 126 new highly skilled jobs. To grow this vibrant technology ecosystem, we have attracted GBP91M for a business incubator which will further enhance Bristol’s position as a world leading centre for the commercialisation of quantum technologies. 
",https://results2021.ref.ac.uk/impact/8d35524a-fddf-43aa-8380-38cad06f4607
"Imperial College of Science, Technology and Medicine",Commercial impact of fluorescence lifetime imaging (FLIM) technology,Technological,[UK];[UK];[UK];[UK];[USA];[UK];[USA];[uk];[USA],[Kentech Instruments Ltd];[Cairn Research Ltd];[GlaxoSmithKline PLC];[Kentech Instruments Ltd],[Standard Research];[Research Grant];[Research Grant];[Standard Research];[Standard Research],[EPSRC];[Wellcome Trust];[MRC];[BBSRC];[EPSRC];[EPSRC],"
 **1. Summary of the impact** \(indicative maximum 100 words\) 

 Having demonstrated the first FLIM instrument to utilize solid\-state ultrafast laser technology in 1997 \[REF impact case 2014\], the Photonics team at Imperial developed a multidimensional fluorescence imaging technology platform enabling FLIM for clinical diagnostic imaging of disease, preclinical imaging of disease progression and assays of protein interactions in cell biology and drug discovery. This stimulated significant commercial sales of FLIM equipment with many research laboratories purchasing components to replicate our capabilities. From 2013, this included sales of gated optical intensifier \(GOI\) technology from Kentech Instruments Ltd \(\[redacted from public version\]\) and ultrafast supercontinuum sources \(USS\) from Fianium Ltd \(now NKT Photonics, \~£2.25M in 2019 alone\). 
",https://results2021.ref.ac.uk/impact/ba539a04-46ba-49cf-a62b-e417f75a6e81
"Imperial College of Science, Technology and Medicine",Commercial investment in PsiQuantum – a photonic quantum computing company,Technological,[USA];[USA];[USA],[BAE Systems];[Single quantum];[Sandia National Laboratory];[Quintessence labs];[Oclaro Technology UK];[National Physical Laboratory];[National Institute of Informatics (NII)];[National Inst of Info & Comm Tech (NICT)];[NASA];[IBM Corporation (International)];[HP Research Laboratories];[Google];[Defence Science & Tech Lab DSTL];[D Wave Systems Inc];[British Science Association];[Bristol City Council],[Advanced Fellowship];[Programme Grants];[First Grant Scheme],[EPSRC];[EPSRC];[EPSRC],"
 **1. Summary of the impact** \(indicative maximum 100 words\) 

 PsiQuantum is a US incorporated with UK subsidiary, Later Stage Venture Capital funded, company which has received more than US$215M investment to build the world’s first large scale quantum computer based on the theoretical photonic architectures which Prof. Rudolph’s research group discovered and developed from 2005\-2015. The company received seed investment in July 2016 and, as of January 2020, has more than 130 employees, approximately 1/4 of whom are theoretical physicists working under the leadership of Prof. Rudolph, with 2/3 of the remaining total staff being engineers from the silicon\-electronic and silicon\-photonic industries. Currently PsiQuantum has more than 30 patents. \[redacted from public version\]. 
",https://results2021.ref.ac.uk/impact/e8ed3395-c149-4fb0-9b3c-93d23be5cc0e
The University of Bath,Commercialisation of antiresonant hollow optical fibres with major investment in two SMEs,Technological,[France];[Global],[GLO Photonics];[Lumenisity];[Amplitude];[Trumpf];[DMG Mori Seiki],,,"
 **1. Summary of the impact** 

 A hollow optical fibre has long been a technical goal in order to overcome problems in manufacturing, communication and instrumentation. In an empty core there is no material to damage when using a high power laser, and no material to absorb the light when working at wavelengths far into the ultraviolet or infrared. It has required researchers to find an efficient physical process to trap light in a hollow core. 

 University of Bath research showed that this can be achieved with an antiresonant hollow optical fibre and that an inwardly curving core wall further reduces the optical losses. Antiresonant hollow optical fibres incorporating these designs are the founding technology of GLOphotonics, a University of Bath spin out, and Lumenisity, with a combined workforce of more than \[text removed for publication\] people, sales revenues of EUR\[text removed for publication\] and more than GBP\[text removed for publication\] investment in this REF period. 
",https://results2021.ref.ac.uk/impact/a9bf9bed-b930-43ad-a380-9258d29e35a5
University of St Andrews,Commercialising Airy Beam Light Sheet Fluorescence Microscopy,Technological,[United Kingdom];[United States];[Germany];[Sweden];[Denmark];[Finland];[South Africa],,[Platform Grant];[Programme Grant],[EPSRC - Engineering and Physical Sciences Research Council],"
 **1. Summary of the impact** 

 
 Biological objects imaged using Airy beamlight sheet fluorescence microscopy. 

Our research on the physics of optical beams has led to the commercialisation of a new form of microscopy known as Airy beam light sheet fluorescence microscopy \(LSFM\). It is a powerful new 3D optical imaging technique that finds principal application in cell biology and neuroscience. The key innovation is the use of a special light beam profile, the Airy beam profile, which results in several advantages over existing microscopes: a 20 fold increase in the field of view whilst achieving deep sample penetration and high resolution, up to 20 times reduction in imaging time, and  lower phototoxicity thus causing less damage to cells. 

 The University’s Airy beam LSFM technology was exclusively licensed to M Squared Lasers Ltd. They spun out a legally and financially separate biophotonics business unit, M Squared Life Ltd, in 2016 specifically to develop and sell a new scientific instrument, the “Aurora” light sheet microscope, based on the Airy beam. The economic impact has arisen through the creation of \[text removed for publication\] jobs \[text removed for publication\], the sale of Aurora systems, which has raised over \[text removed for publication\] in revenue up to March 2020, and the securing of \[text removed for publication\] investment to grow both businesses. 

 End users of Aurora work on understanding diseases and processes in neuroscience and developmental biology in Universities, Research Institutes and National Laboratories and are located worldwide, including the UK, across Europe \(e.g. Max Planck Institute for Molecular Biomedicine\), South Africa, and the USA. Compared with competing technologies, Aurora enables end users to image a wider variety of biological samples with less photon damage and do so more rapidly and with unprecedented image quality over a larger volume. These benefits are enabling new imaging approaches not previously possible, particularly for live samples. 
",https://results2021.ref.ac.uk/impact/8453dd38-f9c2-408d-a7c7-434977040571
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,Economic Impact of the Design and Manufacture of Airborne Optical Systems for High Altitude Pseudo Satellites and Similar Platforms,Technological,[UK],[Gooch & Housego PLC];[Thomson Telescopes Ltd],[Research and Development into Persistent Surveillance – Challenge 1],[UK Defence Science and Technology Laboratory (DSTL)],"
###  1. Summary of the impact \(indicative maximum 100 words\) 

 The impact of this research is both technological and commercial. 

 By using advanced design and finite element methods, and applying ultra\-precision optical manufacturing and optical metrology capability together with composite and lightweight materials research, this work has delivered the first ultra\-lightweight imaging and communications solution for the next generation of uncrewed high\-altitude platform systems \(HAPS\). This research has led to: 

 \(4.1.\) A sovereign capability that is being used to develop imaging for the Zephyr and other HAPS platforms. 

 \(4.2.\) A collaboration with QinetiQ Ltd to develop LIDAR for the Zephyr HAPS platform. 

 \(4.3.\) Development of a hyperspectral spectrometer for Airbus Defence and Space 

 \(4.4.\) Collaborations with Airbus Endeavr to support innovation in Wales and establish a supply chain within the Welsh photonics community. 

 \(4.5\) Development of an airborne optical communications system for Archangel Lightworks Ltd. 
",https://results2021.ref.ac.uk/impact/6ff5f56b-4b8b-45a4-aba3-668fb4b1037e
"City, University of London",Extended study of fiber optic-based humidity and structural sensing system performance for sewer network condition monitoring,Technological,,,,,"
 **1. Summary of the impact** \(indicative maximum 100 words\) 

 This case study charts the success of a new class of photonic humidity sensors for use in so\-called “extreme environments” such as are experienced by Sydney Water in its day\-to\-day operations. Developed in research at City, University of London, the sensors overcame weaknesses of existing technologies, to supply online, long\-term, continuous humidity data resulting in reduced maintenance, reduced fines and regulation penalties, and greater stability of water supply. Further developments led to its deployment as a solution to problems Sydney Water experienced in 2018 with pumping stations and specifically with structural defects in some aged concrete structures. The project’s deliverables have created a new climate of thinking about the development and exploitation of photonics\-based sensors to tackle a range of problems at Sydney Water, based on the project’s many successes. 
",https://results2021.ref.ac.uk/impact/e5e93dc7-edab-4276-b6f7-853db195fbf3
University of Strathclyde,Photonics industry innovation and economic impact through the creation of the UK’s first Fraunhofer Centre,Technological,,"[Thales Group];[Micro-g LaCoste];[University of Trento];[Universita Degli Studi Di Roma La Sapienza University of Rome];[Aalto University (Finland)];[National Institute of Standards and Technology NIST];[Texas Instruments];[Samsung Electronics Co Ltd];[Rutgers];[The State University of Jersey];[Princeton University];[Hebrew University of Jerusalem];[Defence Science and Technology Laboratory DSTL MoD];[Institution of Civil Engineers];[University of Nottingham];[University of Essex];[University of Birmingham];[University of Southampton];[University of Glasgow];[TMD Technologies Limited];[Roke Manor Research Limited];[Chronos Technology Limited];[IBM United Kingdom Limited];[Network Rail Infrastructure Ltd];[Kelvin Nanotechnology Limited];[Fraunhofer UK Research Limited];[Oxford Instruments, Bristol, England];[National Physical Laboratory NPL];[BAE Systems Advanced Technology Centre];[E2V Technologies Limited];[Coherent Scotland Ltd];[M Squared Lasers Ltd];[MBDA UK Limited];[Rolls-Royce PLC];[BP Plc];[Procter and Gamble Technical Centres Ltd];[Compound Semiconductor Technologies Global Ltd];[Selex ES Limited];[AWE plc];[NERC British Geological Survey];[STFC Science and Technology Facilities Council];[European Space Agency ESA];[ID Quantiqu SA];[Government Office For Science];[Scottish Enterprise];[CENSIS (SFC Innovation Centre, Administered by the University of Glasgow)];[University of Oxford];[University of Bristol];[University of Edinburgh];[Heriot-Watt University];[OPTOS PLC];[HORIBA Jobin Yvon IBH Ltd];[Helia Photonics Ltd];[Aralia Systems Limited];[Chromacity Ltd];[STMicroelectronics (R&D) Limited];[Bridgeporth Ltd];[Tullow Oil Finance Limited];[Renishaw PLC];[Cascade Technologies Ltd];[Andor Technology PLC];[Malvern Panalytical Ltd (formerly Malvern Instruments Ltd)];[mLED Ltd];[Thales Optronics Limited];[Astra Zeneca];[Lein Applied Diagnostics];[The UK Astronomy Technology Centre];[Bell Labs Ireland];[Osram Opto Semiconductors];[University of St Andrews];[University of Cambridge];[BAE Systems plc];[Thorn Lighting Ltd]",[EPSRC Platform Grant];[EPSRC Programme Grant],[EU];[EPSRC (Engineering and Physical Sciences Research Council)],"
##  1. Summary of the impact 

 Strathclyde underpinning photonics research enabled the 2012 foundation and operation of the UK’s first Fraunhofer Centre, the Centre for Applied Photonics \(Fh\-CAP\). This ground\-breaking intervention in the UK innovation landscape represents a significant shift in Scottish government innovation policy. Working with Fh\-CAP enables companies to accelerate technology development, develop new products, create and protect jobs and operate in international markets. Fh\-CAP has exceeded its government\-set targets, growing its 2020 turnover to GBP3,100,000 from contracted R&D. Since 2013, it has worked on 151 projects involving 116 companies, including 60 direct R&D contracts. Independent economic impact assessment has shown that these collaborations have resulted in additional turnover of GBP55,000,000 for Fh\-CAP’s customers. Fh\-CAP has a current staff of 34 and has provided training for 39 doctoral students many of whom now work in the vibrant UK photonics sector. 
",https://results2021.ref.ac.uk/impact/cf5b51b1-d27b-4635-adb7-2a229c11711c
University of Glasgow,"Photonics research delivers improved commercial gas sensors used in the food packaging, aerospace, personal safety systems industries",Technological,[Scotland];[Worldwide],[Gas Sensing Solutions Ltd. ];[Wideblue Ltd];[Cambridge Respiratory Innovations Ltd. ],[1) MBE and fabrication development];[2) Industrial CASE: Modelling and prototyping of Antimonide based Light Emitting Diode and Photodiode Devices for Gas Sensing Applications 10.2011–09.2015];[3) KTP: MBE for high efficiency optical gas sensor products 08.2012–10.2015 ];[4) Novel light sources and detectors for mid-IR gas sensors powered by energy harvesting 11.2012 – 04.2015];[5) Triple wavelength superspectral camera focal-plane array (SUPERCAMERA) 03.2013 - 12.2017];[6) Mid IR Active component Growth by molecular beam Epitaxy (MIRAGE) 03.2015 - 09.2018];[7) Development of efficient semiconductor LEDs for CO2 gas sensing 06.2015 – 11.2018 ],[1) Gas Sensing Solutions];[2) Engineering and Physical Sciences Research Council ];[3) UK Government ];[4) TSB (now Innovate) ];[5) Engineering and Physical Sciences Research Council ];[6) Scottish Enterprise ];[7) Gas Sensing Solutions ],"
1.  **Summary of the impact** 

 UofG photonics research developed antimonide\-based gas sensors in collaboration with Gas Sensing Solutions Ltd., generating economic and healthcare impacts. The resulting new products have been strategically important to Gas Sensing Solutions, enabling the company to place their wearable and portable gas sensing products in food packaging, aerospace, personal safety systems markets. This has resulted in sales of >250,000 gas sensors in >46 countries, to customers including NASA. Gas Sensing Solutions sensors are central to healthcare products including N\-Tidal, a new lung function\-monitoring device generating **\[text removed for publication\]** revenue for Scottish product design SME Wideblue Ltd., through the production of >1,000 devices for NHS hospitals amidst the COVID\-19 pandemic. The Gas Sensing Solutions/UofG partnership underpins the GBP6 million MIRAGE industrial collaboration project, which has established Scotland at the forefront of the global sensors and imaging market. 
",https://results2021.ref.ac.uk/impact/519d6428-0632-4d18-8b9e-9d5af7fd46d5
