Institution name,Title,Volume title,Volume,Issue,First page,Article number,Month,Year,url,additional information
University of Southampton,100 Gbit/s WDM transmission at 2 µm: transmission studies in both low-loss hollow core photonic bandgap fiber and solid core fiber,Optics Express,23,4,4946,,February,2015.0,https://results2021.ref.ac.uk/outputs/028be296-44c8-4d4c-b5b8-46c2ab9f8af3,"This work demonstrated, for the first time, the viability of high-capacity data transmission in a potential new low-loss optical fibre data transmission window at wavelengths around 2µm by exploiting light guidance in hollow core fibres. This paper represented a primary outcome from the >10MEu EU/FP7 MODEGAP programme and generated major interest in the telecommunication research community (e.g. https://www.osaopn.org/home/articles/volume-30/march-2019/features/time-to-open-the-2-micron-window/). Consequently several major research programs around the world are exploring this topic, including: EPSRC UK EP/P030181/1 “Airguide Photonics”, NSF Singapore, “A cutting-edge silicon based Mid-IR photonics platform for emerging communication and sensing applications,” and SFI Ireland “IPIC2  Irish Photonic Integration Research Centre."""
University of Bristol,A Homodyne Detector Integrated onto a Photonic Chip for Measuring Quantum States and Generating Random Numbers,Quantum Science and Technology,3,2,,025003,February,2018.0,https://results2021.ref.ac.uk/outputs/09b11076-09e7-4dc4-8d95-fe11dccd8e96,-
University of Oxford,A nanophotonic structure containing living photosynthetic bacteria,Small,13,38,1701777,1701777,August,2017.0,https://results2021.ref.ac.uk/outputs/97e3420a-7f4d-40a5-9300-8f786bcaac08,-
University of Bristol,A variational eigenvalue solver on a photonic quantum processor,Nature Communications,5,,,4213,July,2014.0,https://results2021.ref.ac.uk/outputs/f15eb5bd-c104-4e49-a394-41c0ab245d75,-
University of Southampton,Accurate modelling of fabricated hollow-core photonic bandgap fibers,Optics Express,23,18,23117,,August,2015.0,https://results2021.ref.ac.uk/outputs/7e5b8300-644b-42a9-b4a6-d7a2a0fc2939,"This work developed a method to analyse and numerically model key optical properties of hollow-core photonic bandgap fibres, rigorously linking for the first time, features in their transmission spectra to scanning electron micrographs of their cross-sections. The method, thoroughly validated through numerous examples, effectively closes the feedback loop in the design of hollow core fibers.  It laid the groundwork for new thinking in fibre design, eventually leading to two granted and now licensed patents (US2016209586A1, US2016236964A1). It has since been adopted by various other research groups (for example https://doi.org/10.1117/12.2270183 and https://doi.org/10.1103/PhysRevApplied.9.044001) to provide fibre design feedback for various applications."
University of Southampton,An all-optical spatial light modulator for reconfigurable silicon photonic circuits,Optica,3,4,396,,April,2016.0,https://results2021.ref.ac.uk/outputs/6f8e6052-d306-4d57-a75e-fdf946626f8c,"A collaboration between the University of Southampton and the Institut d'Optique in Bordeaux resulted in a new approach for controlling light in multimode interference (MMI) splitter and in a novel setup for characterisation of photonic circuits involving digital micromirror devices (DMDs). It was top downloaded paper in Optica (top 4 photonics journal) for April-June 2016 and resulted in 4 invited talks at major conferences (CLEO 2018, SPIE 2017, META 2016, PIERS 2016). The results were highlighted in scientific press (Phys.org, Optics.org, Optics & Photonics News, EE Times). The methodology used led to Mills’ EPSRC Early Career Fellowship (EP/N03368X/1, £860k)."
University of Southampton,An ultrafast reconfigurable nanophotonic switch using wavefront shaping of light in a nonlinear nanomaterial,Light: Science & Applications,3,9,e207,,September,2014.0,https://results2021.ref.ac.uk/outputs/e26fece6-1b33-42b3-ab69-47d63e263ba7,"Resulted in four invited talks at leading international conferences and six additional publications, including Optica (doi:10.1364/OPTICA.3.000396), Nano Letters (doi:10.1021/acs.nanolett.7b04861) and Nature Communications (doi:10.1038/s41467-018-04662-2). Led to EPSRC Early Career Fellowship EP/N03368X/1 (£861,709) for developing wavefront beam shaping and was supported by 8 months funding via the Program Grant EP/L00044X/1. Further collaborations were established with a theoretical group in Bordeaux via Royal Society international funding. The first author of the paper obtained a senior R&D position at Luxtera, a world-leading company in this field. This work led to EPSRC grant EP/S008764/1 (£200,958) for developing this technique to enable access for new users."
University of Glasgow,An upconverted photonic nonvolatile memory,Nature Communications,5,,,4720,August,2014.0,https://results2021.ref.ac.uk/outputs/2ab8e4f1-b821-4399-92eb-ec35ddcccd36,"With a constant drive for increased memory capacity in mobile devices, this output demonstrates a photonic flash memory device, based on up-conversion nanocrystals. The paper resulted in an invitation to present a Keynote Lecture at IEEE NEMS 2015 (https://nano.papercept.net/conferences/conferences/NEMS15/program/NEMS15_ContentListWeb_3.html#thkt1). A US patent (US 9,812,545) on the underpinning research on “Electronic Device for Data Storage and a Method of Producing an Electronic Device for Data Storage” has also been granted."
University of Durham,Biodegradable and Insoluble Cellulose Photonic Crystals and Metasurfaces,ACS Nano,14,8,9502,,,2020.0,https://results2021.ref.ac.uk/outputs/0eabac53-396b-4153-b58d-d31ac8edbd79,"The article is an experimental demonstration of micro and nanostructured photonic crystals made of biodegradable and insoluble cellulose materials instead of conventional polymer structures. Cellulose is the most abundant organic polymer on Earth and can be mainly obtained from wood pulp and cotton. As the process is replica moulding, it can be used for large scale production with low price. The proposed photonic material is well aligned a with the UN's Sustainable Development 12th Goal- Responsible Consumption and Production of Resources. The paper is selected by the Editor of the Journal ACS Nano as cover page (August 2020 issue)."
University of Cambridge,Black phosphorus ink formulation for inkjet printing of optoelectronics and photonics.,Nat Commun,8,1,278,ARTN 278,August,2017.0,https://results2021.ref.ac.uk/outputs/77aee7f1-c2ec-4917-bd96-99cdd22e229a,"This paper was covered by 14 media outlets, including optics.org, The Engineer and Phys.org (https://www.altmetric.com/details/23963346/news), and an interview by China Daily (http://www.chinadaily.com.cn/world/2017-08/24/content_31058562.htm). It contributed to two keynote presentations (IEEE 3M Nano 2018, 2019 International Forum on Graphene in Shenzhen), two invited lectures at international conferences (MRS Fall 2017, NT2018 (International Conference on the Science and Application of Nanotubes and Low-Dimensional Materials)) and to a successful EPSRC grant application: “Fiberized Platforms for Nanosheet Materials” (~£368k, EP/T014601/1), and to a PhD studentship funded by Alphasense Ltd (~£91k)."
