2025-02-20 09:14:40,112 - INFO - Processing groups with LLM...
2025-02-20 09:20:47,896 - ERROR - Error parsing LLM response for group 'strathmore university': [
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
  "strathmore university",
