2025-02-06 10:12:09,385 - INFO - Processing groups with LLM...
2025-02-06 10:19:46,579 - ERROR - Error parsing LLM response for group 'university of kent': [
  "university of kent",
  "the university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
  "university of kent",
